Datetime,wind_U_W6,wind_V_W6,pressure_W6,wind_U_W9,wind_V_W9,pressure_W9,wind_U_W10,wind_V_W10,pressure_W10,wind_U_OSC2_1,wind_V_OSC2_1,pressure_OSC2_1,wind_U_SCS_500,wind_V_SCS_500,pressure_SCS_500,wind_U_Singapore,wind_V_Singapore,pressure_Singapore,WL
2006-04-07 16:00:00.000,-5.59135847324661,-0.740573399619886,101038.119227145,-6.9263327788643,-1.10661575023769,101195.85390948,-5.51800303709253,-6.74418510374261,101215.605745387,-0.696730923984084,-0.175760782681978,100896.061577261,-1.18679854400994,-1.02565550530913,100949.670918696,-0.838289754254977,-0.942371462534299,100913.536948442,0.28
2006-04-07 17:00:00.000,-5.65257587904073,-0.430957465592165,101028.617540971,-7.16357223680483,-0.872343346635041,101134.855502189,-6.06689470541529,-6.07747070290147,101126.114820968,-0.526879673331001,-0.249225156666269,100892.298707455,-1.29639333851553,-1.52743044431141,100928.823672306,-0.169606659058137,-0.905919637658661,100906.898747506,0.215
2006-04-07 18:00:00.000,-5.54697585404587,-0.508616907790537,100975.383735102,-7.22543467773616,-0.895332694652124,101089.365963522,-6.68061191443057,-5.33235941443586,101087.37641341,-0.454960675306723,-0.53791718880766,100832.314135847,-2.2315469007236,-1.0911998567163,100876.188071493,-0.38069806385551,-1.16321098550349,100816.352182334,0.21
2006-04-07 19:00:00.000,-4.99959021723676,-1.14981822330999,100904.060180557,-7.4470583738882,-0.693902216788157,101029.310344597,-7.19496538484338,-4.76108470287669,100995.804304701,-1.11010121354004,-1.00940924527714,100760.100237372,-2.64252738011957,-0.898957333211057,100813.239737093,-0.192174956713893,-1.03709299286807,100770.58056455,0.252
2006-04-07 20:00:00.000,-4.24508569082419,-2.01173584823535,100870.499737727,-8.02784459117552,-0.20784171585554,100990.985997512,-7.45798704584993,-4.55861621918567,100955.268510712,-1.09698528684868,-1.23611571186929,100734.940656907,-3.03468855136812,-1.3160577512567,100767.368402395,0.40588493116364,-0.811464179039307,100755.197991277,0.329
2006-04-07 21:00:00.000,-4.01756099928937,-1.57694515540104,100868.307040918,-8.14796583570238,-0.0846844943354516,100990.561742747,-7.46542604232284,-4.48976330048939,100968.796208589,-0.400966777093967,-1.04040202805177,100729.314797638,-3.02749293354704,-1.68893925280277,100725.396685594,0.186427691890426,-1.15230204521224,100726.877507965,0.426
2006-04-07 22:00:00.000,-5.8591846235959,-0.563795985142012,100950.624533631,-7.93114698933141,-0.844975075186132,101031.620176094,-7.28370198562741,-4.720863690965,101058.854728724,-0.851280260163915,-1.77676758915993,100756.63249461,-2.19916662052877,-2.01572018182801,100781.710125088,-0.829729365489001,-1.3739397833247,100733.985836446,0.487
2006-04-07 23:00:00.000,-5.9505005872388,1.02158065394712,100979.37322513,-8.15817614148716,-0.614534229586322,101063.863538217,-7.37137587262959,-3.80259753765926,101105.870573794,-1.23688850488983,-1.9478018348421,100785.278263277,-2.76180858323046,-1.98435924814037,100799.655760057,-0.771363078448252,-1.755486621804,100794.632289754,0.503
2006-04-08 00:00:00.000,-5.89540492202409,0.293523383337387,101006.690572879,-8.41583621099725,-0.2915886264892,101114.444134062,-7.12801441658717,-2.75344266762398,101131.175882761,-1.1415794375993,-1.86687623537503,100849.745076859,-3.12463377413155,-1.93888589429329,100874.339911352,-0.680117116374549,-1.6887026214844,100858.569635878,0.487
2006-04-08 01:00:00.000,-6.37596155750795,0.368628238621339,101150.494938618,-8.10532279389534,-0.210578543000431,101185.766073962,-6.80335535623363,-2.07309402545684,101176.488940686,-1.03643342529024,-1.69067652589709,100920.999812443,-3.37952469771652,-1.41108138033026,100958.468160967,-1.30385817055001,-1.81907776155056,100911.31794643,0.352
