combined_weather_SLA_wind_U_W6,combined_weather_SLA_wind_V_W6,combined_weather_SLA_pressure_W6,combined_weather_SLA_wind_U_W9,combined_weather_SLA_wind_V_W9,combined_weather_SLA_pressure_W9,combined_weather_SLA_wind_U_W10,combined_weather_SLA_wind_V_W10,combined_weather_SLA_pressure_W10,combined_weather_SLA_wind_U_OSC2_1,combined_weather_SLA_wind_V_OSC2_1,combined_weather_SLA_pressure_OSC2_1,combined_weather_SLA_wind_U_SCS_500,combined_weather_SLA_wind_V_SCS_500,combined_weather_SLA_pressure_SCS_500,combined_weather_SLA_wind_U_Singapore,combined_weather_SLA_wind_V_Singapore,combined_weather_SLA_pressure_Singapore,combined_weather_SLA_SLA
-5.966825229,-3.924099612,101131.9484,-8.299318604,-3.022942117,101465.4442,-8.76299957,-6.99369172,101378.1746,1.341046886,-5.689893385,100821.874,-4.753334192,-1.906584133,100866.5037,1.081571981,-5.090163419,100840.9493,0.176116617
-6.87641385,-4.166274452,101178.3605,-8.320339822,-2.907448012,101522.6244,-9.113695118,-6.885299501,101439.6169,1.5526505035837599,-5.42530685,100880.2169,-4.998261953,-2.157157993,100887.2955,1.130210553,-4.616289695,100912.5967,0.1823459518278873
-7.028947219,-4.084527671,101234.8833,-8.256074956,-2.899784896,101591.3536,-9.261412334,-6.744185104,101480.1053,2.002963987,-5.162442137,100929.7061,-4.75195042,-2.009761604,100935.3107,1.27923914,-4.490171703,100962.2422,0.18690081800602001
-7.03506896,-4.661353396,101308.43,-8.206224639,-2.690143936,101610.2094,-9.369277782,-6.423780433,101504.4174,1.921426642,-5.082090478,100964.2913,-4.187371175,-1.95048944,100957.8028,1.594027981,-4.680945122,100987.4222,0.15384761917135104
-6.594813783,-5.167672522,101262.1398,-8.122139768,-2.418650683,101576.8818,-9.112101047,-5.997710391,101451.8675,2.042311767,-4.981363934,100990.1887,-3.838106957,-2.349086907,100985.1926,1.863485673,-4.554827129,101012.339,0.10117810291622997
-6.394836924,-5.494659647,101218.6208,-7.776190584,-2.048631654,101512.1123,-8.800725909,-5.611861362,101366.1132,2.228120728,-4.960702079,100938.6337,-3.58792086,-2.752074905,100948.2478,2.164072051,-3.898960353,100958.4435,0.097663339
-6.466767376,-5.512030838,101125.2485,-7.534146276,-1.818738173,101428.4869,-8.356511548,-5.493925174,101277.994,2.377860891,-5.05769801,100903.532,-3.229800496,-2.966583691,100910.6747,2.551235088,-3.12096666,100901.2948,0.056813651
-6.559613775,-5.758293017,101006.7515,-7.474085654,-1.535750247,101329.2585,-8.155658644,-5.596863696,101209.5041,2.222655759,-5.150963329,100825.3049,-3.012548189,-2.994181313,100823.9036,2.846957609,-1.90262428,100805.3512,0.035097063
-6.550941309,-5.999446022,100958.7558,-7.617630541,-1.258235974,101265.9974,-7.988281223,-5.610497937,101170.4819,1.912682691,-5.57424439,100761.4283,-3.138194746,-3.058157618,100781.4514,2.629835022,-0.900598203,100708.0348,0.029316576
-6.547370294,-6.087323812,100929.1848,-7.839854843,-1.090742153,101223.1948,-7.903795477,-5.44961389,101185.4286,1.746110422,-5.740974082,100675.9337,-3.412735242,-3.127151672,100710.2048,0.923399343,-1.96781185,100652.5409,0.035029043
-6.701944243,-5.851790898,100938.7474,-7.875891217,-1.132889291,101210.2314,-7.72738499,-5.411438014,101199.2401,1.310443057,-5.684440951,100596.2678,-3.633585358,-3.233778846,100680.2277,-0.231280369,-3.120700588,100587.6069,0.048309441
-6.913144293,-5.643336606,100990.8849,-7.534146276,-1.424635064,101270.617,-6.78741465,-5.502787431,101233.6269,1.210980613,-5.50623245,100607.6671,-2.796126145,-3.378979969,100705.954,-0.854243206,-3.288059697,100590.1644,0.060500519694240085
-6.910593568,-5.448166166,101025.1153,-7.599011748,-1.350193366,101262.8862,-6.539270981,-5.798650468,101241.857,0.767006495,-5.6425433,100627.6066,-2.862823987,-3.426648588,100722.2733,-0.522139033,-3.425352702,100638.0798,0.064455547
-6.805503688,-5.207013161,101043.9969,-7.501112934,-1.281225322,101293.9982,-6.529175201,-5.909087823,101260.0201,0.7123568,-5.254559575,100753.1832,-3.773069642,-4.024387985,100788.2156,-0.191202185,-2.817378834,100754.8971,0.091419046
-6.711636999,-5.309196637,101092.9976,-7.193602548,-1.250572858,101305.5002,-6.413870755,-6.070653582,101282.0144,0.319534796,-4.684062796,100856.201,-4.466339743,-4.421417405,100858.8708,-0.792374942,-2.29986935,100845.9514,0.085304165
-6.597874654,-5.296423703,101100.9461,-7.045252811,-1.171204871,101309.9313,-6.298034953,-6.282666035,101274.9195,0.04147715,-4.36409101,100910.2461,-4.55407093,-4.12599741,100902.5613,-0.879924372,-2.695517989,100911.7129,0.12693247760662996
-6.685109457,-5.40627094,101088.5513,-6.991798857,-0.766701819,101314.551,-6.467537801,-6.204269147,101279.7914,-0.400966777,-4.348307649,100928.1013,-4.204529956,-3.87542355,100917.2912,-0.408130219,-3.17364886,100939.6948,0.10027527396730601
-7.037619685,-5.15643234,101048.9304,-6.764769705,-0.230831064,101268.92,-6.637040649,-5.758429456,101235.4243,0.069457794,-4.279434798,100879.1102,-3.747608225,-3.31719893,100925.0534,0.044986723,-3.790935237,100904.1156,0.12092278622780397
-7.233515384,-4.899440896,101021.9481,-6.516719335,0.205966548,101241.9563,-6.744374741,-5.323497158,101202.1726,1.381706259,-4.678610362,100881.0285,-3.440964204,-3.041222713,100905.3336,0.423200263,-4.275451829,100883.5428,0.2034387119313621
